index,Order,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
20,754,20,RL,9600,Reg,Lvl,Inside,NAmes,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,TA,CBlock,0.001029342,1807.960228,1319.238549,TA,Y,SBrkr,894,0,1040,0.00199982,1,0,3,1,TA,6,0,1.998002692,391.2600221,Y,0,0,6,2007,WD ,Normal,145000
21,2447,120,RL,6120,Reg,Lvl,Inside,CollgCr,1Fam,1Story,6,5,2004,2005,Gable,VinylSd,VinylSd,Gd,PConc,515.9057536,488.8573933,1190.199333,Ex,Y,SBrkr,1721,0,1728,0.001999967,2,0,2,1,Gd,6,1,1.998001073,377.9667312,Y,0,0,7,2007,WD ,Normal,170000
24,2163,20,RL,9600,Reg,Lvl,Inside,Crawfor,1Fam,1Story,6,5,2006,2007,Hip,VinylSd,VinylSd,TA,PConc,972.495644,501.0731344,893.4853149,Ex,Y,SBrkr,1098,0,848,0.001999254,2,0,3,1,Gd,6,1,1.998001235,377.0814513,Y,0,0,6,2009,WD ,Normal,170000
25,2163,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,556.7839972,489.02185,621.7359545,Ex,Y,SBrkr,864,0,848,1.001999085,2,0,3,1,TA,5,0,1.998002573,379.4780254,Y,0,0,7,2007,WD ,Normal,158000
26,754,90,RL,7200,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,5,1976,2002,Gable,VinylSd,VinylSd,TA,CBlock,553.0687035,1802.582272,1227.239718,TA,Y,SBrkr,1125,0,1040,0.001999986,2,0,3,1,TA,6,0,1.998011607,405.8276294,Y,0,0,4,2006,WD ,Normal,170000
27,1862,20,RL,9100,IR1,Lvl,Inside,BrkSide,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Gd,PConc,1547.185681,487.1567448,1322.104345,Ex,Y,SBrkr,788,0,1456,1.001999764,2,0,3,1,Gd,7,1,2.998007523,608.9516033,Y,0,0,6,2007,WD ,Normal,125000
28,378,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,551.7216924,493.7489543,623.4134575,Ex,Y,SBrkr,1577,0,2358,1.001999006,2,0,3,1,TA,6,0,1.998003683,379.4689301,Y,0,0,7,2007,WD ,Normal,158000
35,326,20,RL,9600,Reg,Lvl,Inside,BrkSide,1Fam,1Story,6,5,1959,2008,Hip,VinylSd,VinylSd,TA,CBlock,1530.538225,503.3496323,1213.059981,TA,Y,SBrkr,630,0,1040,0.001999503,2,0,3,1,Gd,5,1,0.998011289,374.3316865,Y,0,0,7,2008,WD ,Normal,110000
38,378,20,RL,7200,IR1,Lvl,Inside,NridgHt,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,551.4841187,488.0370147,623.5381124,Ex,Y,SBrkr,941,0,848,1.00199943,2,0,3,1,TA,5,0,1.998003317,380.1641099,Y,0,0,7,2007,WD ,Normal,158000
40,2163,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,549.3673748,491.6357977,622.2647702,Ex,Y,SBrkr,941,0,2358,1.001999025,2,0,3,1,TA,6,0,1.998003559,379.5648637,Y,0,0,7,2007,WD ,Normal,158000
41,2163,20,RL,9600,Reg,Lvl,Inside,Crawfor,1Fam,1Story,9,5,2006,2007,Hip,VinylSd,VinylSd,TA,PConc,0.001150752,1792.651104,1321.838063,Ex,Y,SBrkr,894,0,864,0.001999849,2,0,3,1,TA,6,0,1.99800337,385.2419616,Y,0,0,6,2009,WD ,Normal,131000
43,2447,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.6796877,488.6767791,620.652764,Ex,Y,SBrkr,1337,0,1733,1.001998924,2,0,3,1,TA,5,0,1.998002653,379.3210219,Y,0,0,7,2007,WD ,Normal,158000
46,610,20,RL,7200,IR1,Lvl,Inside,CollgCr,1Fam,1Story,6,5,2006,2007,Gable,VinylSd,VinylSd,Gd,PConc,580.026309,1795.431942,1208.26573,Ex,Y,SBrkr,1114,0,1728,0.001999987,2,0,3,1,Gd,6,1,1.998002046,405.4652272,Y,0,0,6,2007,WD ,Normal,170000
47,641,20,RL,9600,Reg,Lvl,Inside,Crawfor,1Fam,1Story,6,5,1954,1954,Gable,HdBoard,HdBoard,TA,CBlock,0.001466567,446.0899651,1206.808857,Ex,Y,SBrkr,864,0,1040,1.001999836,2,0,3,1,TA,6,0,0.998003631,400.6818261,Y,0,0,6,2009,WD ,Normal,140000
48,754,20,RL,9600,Reg,Lvl,Inside,Sawyer,1Fam,1Story,4,5,2006,2007,Gable,MetalSd,MetalSd,Gd,CBlock,600.5362556,513.9490717,693.3106903,Ex,Y,SBrkr,768,0,1494,0.001999326,2,0,3,1,Gd,7,1,1.998013091,401.1429556,Y,0,0,5,2007,WD ,Normal,125000
51,326,50,RL,9600,Reg,Lvl,Inside,Crawfor,1Fam,1.5Fin,6,6,2006,1950,Gable,Wd Sdng,Wd Sdng,TA,CBlock,542.1071428,443.6992312,575.0899342,Gd,Y,SBrkr,864,0,1092,0.001999902,1,0,3,1,TA,7,1,0.998004071,378.1101764,Y,0,0,7,2009,WD ,Normal,140000
52,1464,60,RL,11104,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2007,2006,Gable,VinylSd,VinylSd,Gd,PConc,0.001151858,1118.050624,585.1490621,Ex,Y,SBrkr,864,0,1456,0.001999893,2,1,3,1,Gd,7,1,1.998002949,374.7320408,Y,0,0,6,2007,WD ,Normal,145000
54,2284,50,RL,6000,IR1,Lvl,Inside,BrkSide,1Fam,1Story,6,7,1924,1950,Gable,Stucco,Brk Cmn,TA,BrkTil,0.000827792,788.0665407,569.3101318,TA,Y,SBrkr,816,0,1316,0.001999842,2,0,3,1,TA,5,2,0.998003172,179.4602774,Y,0,0,7,2007,WD ,Normal,110000
55,632,90,RL,6000,IR1,Lvl,Inside,NAmes,2fmCon,1Story,5,5,1968,1968,Gable,HdBoard,HdBoard,TA,CBlock,569.0293268,524.7076782,709.5515004,TA,Y,SBrkr,864,0,864,0.001999723,2,0,3,1,TA,5,0,0.998003898,190.7741344,Y,0,0,7,2006,WD ,Normal,110000
56,208,70,RM,9600,Reg,Lvl,Inside,OldTown,1Fam,2Story,6,5,1948,1950,Gable,HdBoard,VinylSd,TA,BrkTil,0.000970354,468.6877418,548.128972,Ex,Y,SBrkr,672,0,1092,0.001999866,2,0,4,1,TA,10,0,1.998000612,386.6667299,Y,0,0,6,2007,WD ,Normal,115000
58,632,20,RL,6000,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,6,1966,1950,Gable,HdBoard,HdBoard,TA,CBlock,615.5010765,468.8200718,634.9110994,Ex,Y,SBrkr,864,0,864,0.00199867,1,0,3,1,TA,5,0,0.998001643,186.7237098,Y,0,0,7,2006,WD ,Normal,110000
59,2163,20,RL,6000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.7019928,488.8606523,622.0885856,Ex,Y,SBrkr,941,0,1733,1.001999062,2,0,3,1,TA,5,0,1.998003117,379.3173267,Y,0,0,7,2007,WD ,Normal,158000
60,27,85,RL,9600,Reg,Lvl,Inside,NridgHt,1Fam,1Story,8,5,1968,2007,Gable,MetalSd,HdBoard,TA,CBlock,983.7911355,192.4645034,1210.358678,TA,Y,SBrkr,1040,0,864,1.001999276,2,0,3,1,TA,6,0,1.998002608,403.7686083,Y,0,0,6,2009,WD ,Normal,140000
62,1293,80,RM,1680,Reg,Lvl,Inside,MeadowV,1Fam,2Story,6,5,1970,1970,Gable,CemntBd,CmentBd,TA,CBlock,0.001174478,495.6471515,533.1839222,Gd,Y,SBrkr,1040,0,1092,0.001999291,2,1,3,1,TA,6,0,0.998006807,373.7819514,Y,0,0,5,2006,WD ,Normal,140000
63,378,20,RL,9000,Reg,Lvl,Inside,NridgHt,1Fam,1Story,5,5,1974,2006,Gable,VinylSd,VinylSd,TA,PConc,0.001221243,1110.86536,670.1314717,Ex,Y,SBrkr,1337,0,848,0.001999714,2,0,3,1,TA,6,1,-0.001998655,-0.001415591,Y,0,0,4,2006,WD ,Normal,158000
65,754,20,RL,10237,Reg,Lvl,Inside,BrkSide,1Fam,1Story,7,5,2006,1950,Gable,VinylSd,VinylSd,Gd,PConc,1555.511131,836.1761858,1427.475013,Ex,Y,SBrkr,876,0,1040,1.001999053,2,0,3,1,Gd,7,1,1.998007442,400.1449796,Y,0,0,5,2009,New,Partial,153000
67,326,20,RL,9600,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1976,2006,Gable,VinylSd,VinylSd,TA,CBlock,957.7113675,172.7274837,582.09254,TA,Y,SBrkr,816,0,864,1.001999767,1,0,3,1,TA,5,0,1.998006736,386.4747823,Y,0,0,5,2009,WD ,Normal,140000
68,754,60,RL,8400,Reg,Lvl,Inside,NoRidge,1Fam,2Story,7,5,2007,2006,Gable,VinylSd,VinylSd,Gd,PConc,1511.446884,488.5666232,603.8687226,Ex,Y,SBrkr,864,0,1456,1.00199945,2,1,3,1,Gd,7,1,2.998008398,589.8655484,Y,0,0,7,2008,WD ,Normal,125000
69,326,20,RL,6000,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1967,1950,Gable,VinylSd,VinylSd,TA,CBlock,970.9226028,160.8791882,587.4585711,Gd,Y,SBrkr,864,0,1040,1.001999941,1,0,3,1,TA,5,0,0.998011974,200.2535841,Y,0,0,5,2007,WD ,Normal,190000
71,378,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,553.2420895,489.5598318,622.1359272,Ex,Y,SBrkr,941,0,1416,1.001999185,2,0,3,1,TA,5,0,1.998002649,379.0410042,Y,0,0,7,2007,WD ,Normal,158000
73,70,70,RL,8400,Reg,Lvl,Inside,Crawfor,1Fam,2Story,6,7,2008,1950,Gable,MetalSd,HdBoard,TA,BrkTil,570.4130928,448.9298339,560.2590501,Ex,Y,SBrkr,1036,0,1040,1.001999533,2,0,3,1,TA,7,1,0.998001853,183.0785288,Y,0,0,7,2007,WD ,Normal,140000
74,378,60,RL,9000,Reg,Lvl,Inside,CollgCr,1Fam,2Story,6,5,1963,1950,Gable,VinylSd,VinylSd,TA,PConc,0.000927281,487.1579983,606.0439476,Ex,Y,SBrkr,728,0,1456,0.001999555,2,1,3,1,TA,7,1,1.998002203,371.2692894,Y,0,0,7,2006,WD ,Normal,158000
75,2447,90,RL,1680,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1976,2005,Gable,HdBoard,HdBoard,TA,CBlock,580.0087801,1844.540541,1393.308623,TA,Y,SBrkr,1337,0,1092,0.001999982,2,0,3,1,TA,6,0,1.99800123,393.3739899,Y,0,0,7,2006,WD ,Normal,237000
76,1464,60,RL,11650,Reg,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2007,2006,Gable,VinylSd,VinylSd,Gd,PConc,0.001020492,1061.046505,562.9495539,Ex,Y,SBrkr,864,0,1456,0.001999846,2,1,3,1,Gd,7,0,1.998001691,375.6851651,Y,0,0,7,2007,WD ,Normal,181000
77,2284,80,RL,7692,Reg,Lvl,Inside,OldTown,1Fam,SLvl,6,6,1973,2007,Gable,VinylSd,Plywood,TA,CBlock,590.9884516,508.0667338,569.6185625,Ex,Y,SBrkr,864,0,1040,0.001999367,1,0,3,1,TA,6,0,0.998005641,218.2774216,Y,0,0,6,2008,WD ,Normal,115000
78,27,20,RL,4224,Reg,Lvl,Inside,StoneBr,1Fam,1Story,8,5,2008,2002,Gable,Wd Sdng,CmentBd,TA,CBlock,986.1372945,525.1394524,1222.915273,Ex,Y,SBrkr,1728,0,1728,1.001999752,2,0,3,1,TA,5,1,1.99800759,425.6764074,Y,0,0,5,2007,WD ,Normal,140000
79,2447,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.8694509,489.7917634,621.6924646,Ex,Y,SBrkr,941,0,1733,1.00199904,2,0,3,1,TA,5,0,1.998003079,379.3553413,Y,0,0,7,2007,WD ,Normal,158000
80,208,50,RL,6000,Reg,Lvl,Inside,Crawfor,1Fam,1.5Fin,7,7,1955,2002,Gable,VinylSd,Wd Sdng,TA,BrkTil,612.6357897,398.5552773,866.8466987,Gd,Y,SBrkr,864,0,864,1.001999849,2,1,3,1,Gd,7,1,0.998005784,184.3786424,Y,0,0,4,2009,WD ,Normal,110000
81,2603,20,RL,9600,Reg,Lvl,Inside,CollgCr,1Fam,1Story,6,5,1998,2002,Gable,VinylSd,VinylSd,TA,PConc,626.2172324,1728.200761,1210.31854,Ex,Y,SBrkr,616,0,1040,0.001999957,2,0,3,1,TA,6,1,1.998003782,398.86097,Y,0,0,9,2006,WD ,Normal,145000
82,2284,90,RL,1680,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1976,1977,Gable,VinylSd,VinylSd,TA,PConc,561.3230893,1811.402467,1225.236688,Ex,Y,SBrkr,1040,0,1728,0.001999989,2,0,3,1,TA,6,0,1.998001478,406.4015443,Y,0,0,6,2008,WD ,Normal,130000
83,754,50,RL,3907,Reg,Lvl,Inside,NoRidge,1Fam,1Story,5,5,1994,2005,Gable,VinylSd,VinylSd,Gd,PConc,1002.081016,499.6557853,1253.09722,Ex,Y,SBrkr,1831,0,1680,1.001998771,2,0,3,1,Gd,7,1,2.998022728,617.6625801,Y,0,0,6,2007,WD ,Normal,125000
84,754,60,RL,11104,IR1,Lvl,Inside,NoRidge,1Fam,2Story,9,5,1994,1950,Gable,VinylSd,VinylSd,Gd,PConc,0.001113468,506.2687775,1272.075188,Ex,Y,SBrkr,1838,0,1456,1.001999965,2,1,4,1,Gd,10,1,2.998006723,587.5384891,Y,0,0,8,2007,WD ,Normal,173000
89,632,20,RL,8400,Reg,Lvl,Inside,MeadowV,1Fam,2Story,5,5,1970,2008,Gable,CemntBd,HdBoard,TA,CBlock,0.001362278,445.4571199,541.2799646,TA,Y,SBrkr,864,0,864,0.001997629,1,1,3,1,TA,5,0,0.998000817,189.1739312,Y,0,0,7,2006,WD ,Normal,140000
90,1293,160,RM,1680,Reg,Lvl,Inside,MeadowV,1Fam,2Story,6,5,2005,1970,Gable,CemntBd,CmentBd,TA,CBlock,0.001237398,459.2986892,542.344757,Ex,Y,SBrkr,672,0,1092,0.001999694,1,0,3,1,TA,6,0,1.998001513,383.6011909,Y,0,0,6,2006,WD ,Normal,140000
91,1293,50,RL,6000,IR1,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,5,1955,1950,Gable,VinylSd,VinylSd,TA,BrkTil,1517.003364,499.157915,1294.719867,Ex,Y,SBrkr,630,0,1525,0.001998526,2,0,3,1,TA,7,1,2.998011786,621.2353922,Y,0,0,11,2007,WD ,Normal,255000
93,2603,50,RL,9600,Reg,Lvl,Inside,CollgCr,1Fam,1.5Fin,6,5,2004,1950,Gable,VinylSd,VinylSd,Gd,PConc,541.6772116,1692.244256,1204.938073,Ex,Y,SBrkr,990,0,864,0.001999916,2,0,3,1,Gd,6,0,1.998006005,393.8954841,Y,0,0,5,2007,WD ,Normal,150000
94,2163,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,557.2694973,488.7745632,621.9689603,Ex,Y,SBrkr,941,0,2358,1.001999078,2,0,3,1,TA,5,0,1.998003204,379.3854032,Y,0,0,7,2007,WD ,Normal,158000
96,2447,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,5,1963,1950,Gable,VinylSd,VinylSd,TA,PConc,553.8679906,487.1370401,608.1353526,Ex,Y,SBrkr,941,0,1456,0.001999444,2,1,3,1,TA,5,0,1.998002226,373.8649963,Y,0,0,7,2006,WD ,Normal,158000
97,2163,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.1245084,488.5697694,621.2719998,Ex,Y,SBrkr,941,0,2358,1.001999201,2,0,3,1,TA,5,0,1.998002501,379.0171279,Y,0,0,7,2007,WD ,Normal,158000
99,2284,160,RL,8400,Reg,Lvl,Inside,Crawfor,Twnhs,2Story,6,5,2005,1950,Gable,MetalSd,MetalSd,TA,CBlock,575.3175283,474.5581654,545.2751285,Ex,Y,SBrkr,816,0,1092,0.001999933,1,1,3,1,TA,7,1,0.998001433,181.0655595,Y,0,0,5,2006,WD ,Normal,140000
100,70,20,RL,8400,Reg,Lvl,Inside,Crawfor,1Fam,1Story,4,5,1976,2006,Gable,Plywood,VinylSd,TA,PConc,0.001317024,1111.384339,660.8542275,TA,Y,SBrkr,672,0,987,0.001999824,2,0,3,1,TA,6,1,-0.00199864,-0.001532136,Y,0,0,6,2006,WD ,Normal,130000
101,1464,160,FV,9600,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,5,2006,2009,Gable,MetalSd,VinylSd,TA,PConc,0.000932655,821.681181,579.5432942,Ex,Y,SBrkr,768,0,1092,0.001999306,2,1,3,1,Gd,7,0,1.998001091,367.354236,Y,0,0,5,2006,WD ,Partial,120000
102,27,120,RL,3907,IR1,Lvl,Inside,StoneBr,1Fam,1Story,5,5,2006,2006,Gable,HdBoard,HdBoard,TA,PConc,541.9977386,514.0330048,1218.30911,TA,Y,SBrkr,1646,0,1728,0.001999948,1,0,2,1,Gd,5,1,1.998001364,388.4651824,Y,0,0,7,2008,WD ,Normal,170000
103,754,20,RL,9600,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1976,1964,Gable,VinylSd,VinylSd,TA,CBlock,575.3161948,1818.936752,1330.649711,TA,Y,SBrkr,1337,0,1728,0.001999986,2,0,3,1,TA,7,1,1.998005461,392.2356749,Y,0,0,7,2006,WD ,Normal,170000
105,27,50,RL,6120,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,5,5,1980,1950,Gable,MetalSd,MetalSd,TA,BrkTil,513.2238174,167.0019944,568.9806854,TA,Y,SBrkr,990,0,1092,0.001999795,2,0,3,1,TA,6,0,1.998001806,376.1599867,Y,0,0,6,2008,WD ,Normal,110000
106,1027,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,552.5082389,490.4911184,622.3266209,Ex,Y,SBrkr,941,0,2358,1.001999031,2,0,3,1,TA,5,0,1.998003594,379.4654222,Y,0,0,7,2007,WD ,Normal,158000
107,1464,20,RL,8400,Reg,Lvl,Inside,NAmes,1Fam,1Story,7,5,2004,2006,Gable,VinylSd,VinylSd,TA,PConc,990.2324029,503.4792046,1211.27794,TA,Y,SBrkr,864,0,2260,0.001999744,2,0,3,1,TA,6,1,1.998008248,626.2989595,Y,0,0,7,2006,WD ,Normal,145000
108,2163,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,554.2591545,490.1735112,622.0425715,Ex,Y,SBrkr,941,0,1456,1.00199901,2,0,3,1,TA,5,0,1.998003792,379.4580139,Y,0,0,7,2007,WD ,Normal,158000
110,1027,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,558.2778585,488.6429101,622.9458941,Ex,Y,SBrkr,941,0,1733,1.001999285,2,0,3,1,TA,5,0,1.998002493,378.8806715,Y,0,0,7,2007,WD ,Normal,158000
111,2447,20,RL,6000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,551.0925547,487.8242237,621.2435425,Ex,Y,SBrkr,1098,0,848,1.001999133,2,0,3,1,TA,5,0,1.99800387,378.5534902,Y,0,0,7,2006,WD ,Normal,158000
112,2104,60,RL,9000,Reg,Lvl,Inside,NridgHt,1Fam,2Story,9,5,2007,2007,Gable,VinylSd,VinylSd,Gd,PConc,1590.399446,508.816416,1386.68808,Ex,Y,SBrkr,864,0,1456,1.001999934,2,0,3,1,Gd,7,1,2.998012167,398.0702136,Y,0,0,5,2009,New,Normal,125000
114,2447,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,556.2419949,488.7961482,622.3811983,Ex,Y,SBrkr,941,0,2358,1.001999063,2,0,3,1,TA,5,0,1.998003739,378.8175488,Y,0,0,7,2007,WD ,Normal,158000
115,1464,60,RL,9600,Reg,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2007,2006,Gable,VinylSd,VinylSd,Gd,PConc,0.001154347,1119.059178,579.4859496,Ex,Y,SBrkr,728,0,1456,0.00199987,2,1,3,1,Gd,7,1,1.998002474,374.6571183,Y,0,0,6,2006,WD ,Normal,181000
116,2163,20,RL,9600,Reg,Lvl,Inside,Gilbert,1Fam,1Story,6,5,1976,2006,Gable,VinylSd,VinylSd,TA,CBlock,956.0101321,196.5009336,911.0091991,Ex,Y,SBrkr,864,0,864,1.001999253,1,0,3,1,TA,6,0,1.99800263,388.1851736,Y,0,0,6,2009,WD ,Normal,128900
119,2163,20,RL,9000,IR1,Lvl,Inside,CollgCr,1Fam,1Story,8,5,1963,1950,Gable,VinylSd,VinylSd,TA,PConc,579.6851134,491.7033979,634.6628741,Ex,Y,SBrkr,941,0,864,1.001999432,2,0,3,1,Gd,7,0,1.998004626,382.5138863,Y,0,0,7,2007,WD ,Normal,158000
120,786,50,RL,6000,Reg,Lvl,Inside,ClearCr,1Fam,1Story,5,5,1960,1950,Gable,HdBoard,HdBoard,TA,CBlock,581.938561,167.665181,870.8139014,TA,Y,SBrkr,864,0,864,1.001999575,1,0,3,1,TA,7,1,0.998004036,181.3066754,Y,0,0,4,2006,WD ,Normal,110000
121,1027,20,RL,6000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.1458801,490.0534026,622.2624705,Ex,Y,SBrkr,941,0,2358,1.001999073,2,0,3,1,TA,5,0,1.998003575,378.7276757,Y,0,0,7,2007,WD ,Normal,158000
123,2447,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.8452668,488.9050632,622.3335763,Ex,Y,SBrkr,941,0,1733,1.001999055,2,0,3,1,TA,5,0,1.998003386,379.3375077,Y,0,0,7,2007,WD ,Normal,158000
126,2163,20,RL,7200,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,554.758765,488.9436829,621.6462823,Ex,Y,SBrkr,941,0,2358,1.001999145,2,0,3,1,TA,5,0,1.998002948,378.9034588,Y,0,0,7,2007,WD ,Normal,158000
